inst1, inst2, num_profiles, n, n_rem_TS, n_rem_out, rsq, line_a, line_a_sd, line_a_95CI, line_b, line_b_sd, line_b_95CI, offset_b, offset_b_sd, offset_b_95CI
FLBBSR, FLBBRR, 11, 287, 0, 6, 0.960, 0.9985, 0.0406, 0.0799, 3.412e-07, 3.275e-05, 6.447e-05, -2.112e-07, 3.264e-05, 6.425e-05
BBFL2WW, FLBBSR, 7, 192, 0, 0, 0.920, 1.0923, 0.0465, 0.0918, -5.554e-05, 3.319e-05, 6.546e-05, -1.693e-05, 3.144e-05, 6.201e-05
BB2FLSG, FLBBSR, 16, 344, 9, 5, 0.959, 1.0012, 0.0408, 0.0803, -4.396e-05, 3.083e-05, 6.064e-05, -4.345e-05, 3.054e-05, 6.007e-05
BB9RR, FLBBSR, 5, 58, 0, 0, 0.834, 0.9773, 0.0697, 0.1396, 2.722e-05, 5.883e-05, 1.179e-04, 7.818e-06, 3.319e-05, 6.647e-05
BB9SR, FLBBSR, 41, 870, 6, 0, 0.977, 0.9845, 0.0394, 0.0773, 2.980e-05, 7.919e-05, 1.554e-04, 2.392e-05, 8.030e-05, 1.576e-04
HS6RR, FLBBSR, 7, 93, 0, 0, 0.578, 0.9955, 0.0874, 0.1736, -7.843e-06, 7.118e-05, 1.414e-04, -1.155e-05, 4.717e-05, 9.368e-05
FLBBLF, FLBBSR, 6, 58, 0, 0, 0.697, 0.7977, 0.1714, 0.3433, 1.776e-04, 4.965e-04, 9.945e-04, 3.771e-05, 6.188e-04, 1.239e-03
MCOMSBGC, FLBBSR, 1, 24, 0, 1, 0.993, 1.0522, 0.0477, 0.0989, -2.536e-05, 2.638e-05, 5.470e-05, -7.365e-06, 2.517e-05, 5.206e-05
